,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point
name,21 브릿지: 테러 셧다운,82년생 김지영,감쪽같은 그녀,겨울왕국 2,결혼 이야기,교회오빠,기생충,"나, 다니엘 블레이크",나이브스 아웃,날씨의 아이,눈의 여왕4,닥터 두리틀,대통령의 7시간,더 킹: 헨리 5세,더 포리너,두 교황,라스트 크리스마스,러브 액츄얼리,러브 앳,러브레터,멀홀랜드 드라이브,메기,미드웨이,백두산,벌새,보리밭을 흔드는 바람,삽질,스타워즈: 라이즈 오브 스카이워커,시동,신비아파트 극장판 하늘도깨비 대 요르문간드,아내를 죽였다,아이리시맨,윤희에게,인비저블 게스트,일일시호일,주전장,쥬만지: 넥스트 레벨,천문: 하늘에 묻는다,캣츠,킹 오브 프리즘,킹 오브 프리즘 -샤이니 세븐 스타즈-,킹 오브 프리즘 프라이드 더 히어로,터미네이터: 다크 페이트,포드 V 페라리,피아니스트의 전설,하이큐!! 끝과 시작,하이큐!! 승자와 패자,하이큐!! 재능과 센스
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-01,,6.69,7.52,8.71,9.1,9.27,8.49,9.27,9.14,7.89,9.32,,6.15,8.49,7.66,,6.74,8.94,9.27,9.11,7.51,8.27,8.9,5.95,8.88,8.46,6.5,,7.95,8.56,5.17,8.88,8.95,8.92,8.85,9.53,6.12,8.86,4.67,,,,8.62,9.57,9.24,,,
2020-01-02,,6.69,,8.71,9.1,9.27,8.49,9.27,9.14,7.89,9.28,,6.11,8.5,7.66,9.36,6.74,8.94,9.27,9.11,7.51,8.27,8.89,5.95,8.88,8.46,6.5,,7.93,8.56,5.14,8.88,8.96,8.92,8.85,9.53,6.12,8.86,4.67,,,,,9.56,9.25,,,
2020-01-03,,6.69,,8.71,9.09,9.27,8.49,9.27,9.14,7.89,9.28,,6.12,8.5,7.66,9.34,6.75,8.94,9.27,9.11,7.51,8.27,8.9,5.94,8.88,8.46,6.49,,7.92,8.56,5.14,8.88,8.95,8.92,8.85,9.53,6.12,8.86,4.66,,,,,9.56,9.25,,,
2020-01-04,,6.69,,8.71,9.09,9.27,8.49,9.27,9.14,7.89,9.22,,6.11,8.5,7.66,9.34,6.74,8.94,9.27,9.11,7.51,8.27,8.9,5.94,8.88,8.45,6.48,,7.9,8.56,5.16,8.87,8.95,8.92,8.85,9.53,6.13,8.85,4.66,,,,,9.56,9.25,,,
2020-01-05,,6.69,,8.71,9.07,9.27,8.49,9.27,9.15,7.89,9.22,,6.1,8.5,7.66,9.34,6.75,8.94,9.27,9.11,7.51,8.27,8.91,5.94,8.88,8.45,6.47,,7.88,8.5,5.15,8.88,8.95,8.92,8.85,9.53,6.12,8.84,4.66,,,,,9.55,9.25,,,
2020-01-06,,6.69,,8.71,9.07,9.27,8.49,9.27,9.15,7.9,9.22,,6.09,8.5,7.66,9.34,6.75,8.94,9.27,9.11,7.51,8.27,8.92,5.94,8.87,8.45,6.47,,7.88,8.5,5.15,8.88,8.95,8.92,8.85,9.53,6.13,8.84,4.66,,,,,9.55,9.25,,,
2020-01-07,,6.69,,8.71,9.07,9.27,8.49,9.27,9.14,7.9,9.22,,6.11,8.48,7.65,9.34,6.74,8.94,9.27,9.11,7.51,8.27,8.91,5.94,8.87,8.46,6.47,,7.87,8.5,5.15,8.88,8.95,8.92,8.85,9.53,6.13,8.83,4.66,,,,,9.55,9.25,8.91,9.0,9.12
2020-01-08,8.02,6.69,,8.71,9.08,9.27,8.49,9.27,9.14,7.9,9.22,8.59,6.1,8.48,7.65,9.34,,8.94,9.27,9.11,7.51,8.28,8.92,5.94,8.87,8.46,6.47,7.82,7.86,8.49,5.14,8.88,8.95,8.92,8.86,9.53,6.13,8.83,4.65,,,,,9.55,9.25,8.91,9.0,9.12
2020-01-09,8.02,6.69,,8.7,9.08,9.27,8.49,9.27,9.14,7.9,9.2,8.1,6.1,8.49,7.65,9.34,,8.94,9.27,9.11,7.51,8.28,8.92,5.94,8.87,8.46,6.49,7.85,7.86,8.49,5.13,8.88,8.95,8.92,8.86,9.53,6.13,8.83,4.65,,,,,9.55,9.25,8.91,9.0,9.12
2020-01-10,8.06,6.69,,8.71,9.08,9.27,8.49,9.26,9.14,7.9,9.2,7.76,6.09,8.49,7.65,9.36,,8.94,9.27,9.11,7.51,8.28,8.91,5.93,8.87,8.46,6.48,7.79,7.86,8.49,5.14,8.88,8.95,8.92,8.86,9.53,6.13,8.83,4.65,9.17,2.07,9.12,,9.55,9.25,8.91,9.0,9.12
